activity_segment,pnl_segment,Fear,Greed,Neutral
Frequent,Loser,46.14467528824688,-207.95490316811848,18.49328167184466
Frequent,Winner,47.40530478531481,48.799241345970415,35.34697425793406
Infrequent,Loser,-110.66451766666667,104.41137561596958,-37.23960921212121
Infrequent,Winner,70.75024154327158,157.3176218205101,32.4591690818084
